timestamp,http_client_request_count_amf,http_server_request_count_amf,cpu_amf_system,cpu_amf_user,subscriber_count_Connected,subscriber_count_Idle,subscriber_count_Pending,subscriber_count_Unregistered,phoenix_memory_used_cm_globalP_amf,phoenix_memory_used_cm_packetP_amf,phoenix_memory_used_cm_sessionP_amf,phoenix_memory_used_cm_transactionP_amf
2024-01-18 12:42:37,2106,403,13.74,14.98,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:38,2106,403,13.76,15.0,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:39,2106,403,13.79,15.02,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:40,2106,403,13.81,15.04,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:41,2106,403,13.82,15.06,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:42,2106,403,13.85,15.08,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:43,2106,403,13.87,15.11,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:44,2106,403,13.88,15.13,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:45,2106,403,13.9,15.15,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:46,2106,403,13.92,15.17,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:47,2106,403,13.94,15.19,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:48,2106,403,13.97,15.2,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:49,2106,403,13.98,15.22,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:50,2106,403,14.0,15.26,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:51,2106,403,14.01,15.29,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:52,2106,403,14.02,15.32,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:53,2106,403,14.04,15.34,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:54,2106,403,14.06,15.36,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:55,2106,403,14.09,15.38,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:56,2106,403,14.1,15.4,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:57,2106,403,14.12,15.43,299,0,1,9700,184821,355100,355184,67792
2024-01-18 12:42:58,2106,403,14.15,15.44,299,0,1,9700,184821,355100,355184,67792
