timestamp,subscriber_count_Connected_x,subscriber_count_Connected_y,subscriber_count_Connected_x,subscriber_count_Connected_y,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_ausf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_ausf,total_allocated_memory_globalP_ausf,total_allocated_memory_packetP_ausf,total_allocated_memory_sessionP_ausf,total_allocated_memory_transactionP_ausf,chunk_create_count_minus_destroy_count_cm_globalP_ausf,chunk_create_count_minus_destroy_count_cm_packetP_ausf,chunk_create_count_minus_destroy_count_cm_sessionP_ausf,chunk_create_count_minus_destroy_count_cm_transactionP_ausf
2024-07-12 08:03:39,749,0,1,9250,36,111,1,1,256.0,256.0,256.0,256.0,55,3,1,4
2024-07-12 08:03:40,754,0,1,9245,36,112,1,1,256.0,256.0,256.0,256.0,55,3,1,4
2024-07-12 08:03:41,759,0,1,9240,37,113,1,1,256.0,256.0,256.0,256.0,56,3,1,4
2024-07-12 08:03:42,764,0,1,9235,37,113,1,1,256.0,256.0,256.0,256.0,56,3,1,4
2024-07-12 08:03:43,768,0,2,9230,37,114,1,1,256.0,256.0,256.0,256.0,56,3,1,4
2024-07-12 08:03:44,773,0,2,9225,37,115,1,1,256.0,256.0,256.0,256.0,56,3,1,4
2024-07-12 08:03:45,778,0,2,9220,37,116,1,1,256.0,256.0,256.0,256.0,56,3,1,4
2024-07-12 08:03:46,783,0,2,9215,38,116,1,1,256.0,256.0,256.0,256.0,57,3,1,4
2024-07-12 08:03:47,788,0,2,9210,38,117,1,1,256.0,256.0,256.0,256.0,57,3,1,4
2024-07-12 08:03:48,793,0,2,9205,38,118,1,1,256.0,256.0,256.0,256.0,57,3,1,4
2024-07-12 08:03:49,798,0,2,9200,38,118,1,1,256.0,256.0,256.0,256.0,57,3,1,4
2024-07-12 08:03:50,803,0,2,9195,39,119,1,1,256.0,256.0,256.0,256.0,58,3,1,4
2024-07-12 08:03:51,808,0,2,9190,39,120,1,1,256.0,256.0,256.0,256.0,58,3,1,4
2024-07-12 08:03:52,812,0,3,9185,39,121,1,1,256.0,256.0,256.0,256.0,58,3,1,4
2024-07-12 08:03:53,817,0,3,9180,39,121,1,1,256.0,256.0,256.0,256.0,58,3,1,4
2024-07-12 08:03:54,822,0,3,9175,40,122,1,1,256.0,256.0,256.0,256.0,59,3,1,4
