timestamp,subscriber_count_Connected_x,subscriber_count_Connected_y,subscriber_count_Connected_x,subscriber_count_Connected_y,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,total_allocated_memory_globalP_smf,total_allocated_memory_packetP_smf,total_allocated_memory_sessionP_smf,total_allocated_memory_transactionP_smf,chunk_create_count_minus_destroy_count_cm_globalP_smf,chunk_create_count_minus_destroy_count_cm_packetP_smf,chunk_create_count_minus_destroy_count_cm_sessionP_smf,chunk_create_count_minus_destroy_count_cm_transactionP_smf
2024-07-12 08:04:31,1007,0,3,8990,64,3645,8,3,511.998046875,512.0,511.998046875,512.0,98,3029,27260,6
2024-07-12 08:04:32,1012,0,3,8985,65,3663,8,3,511.998046875,512.0,511.998046875,512.0,99,3044,27395,6
2024-07-12 08:04:33,1017,0,3,8980,65,3682,8,3,511.998046875,512.0,511.998046875,512.0,99,3059,27530,6
2024-07-12 08:04:34,1022,0,3,8975,65,3699,8,3,511.998046875,512.0,511.998046875,512.0,99,3074,27665,6
2024-07-12 08:04:35,1027,0,3,8970,66,3718,8,3,511.998046875,512.0,511.998046875,512.0,100,3089,27800,6
2024-07-12 08:04:36,1032,0,3,8965,66,3736,8,3,511.998046875,512.0,511.998046875,512.0,100,3104,27935,6
2024-07-12 08:04:37,1037,0,3,8960,66,3754,8,3,511.998046875,512.0,511.998046875,512.0,100,3119,28070,6
2024-07-12 08:04:38,1042,0,3,8955,67,3772,8,3,511.998046875,512.0,511.998046875,512.0,101,3134,28205,6
2024-07-12 08:04:39,1047,0,3,8950,67,3790,8,3,511.998046875,512.0,511.998046875,512.0,101,3149,28340,6
2024-07-12 08:04:40,1052,0,3,8945,67,3809,8,3,511.998046875,512.0,511.998046875,512.0,101,3164,28475,6
2024-07-12 08:04:41,1057,0,3,8940,68,3826,8,3,511.998046875,512.0,511.998046875,512.0,102,3179,28610,6
2024-07-12 08:04:42,1062,0,3,8935,68,3845,8,3,511.998046875,512.0,511.998046875,512.0,102,3194,28745,6
2024-07-12 08:04:43,1067,0,3,8930,68,3863,8,3,511.998046875,512.0,511.998046875,512.0,102,3209,28880,6
2024-07-12 08:04:44,1072,0,3,8925,69,3881,8,3,511.998046875,512.0,511.998046875,512.0,103,3224,29015,6
2024-07-12 08:04:45,1077,0,3,8920,69,3899,8,3,511.998046875,512.0,511.998046875,512.0,103,3239,29150,6
2024-07-12 08:04:46,1082,0,3,8915,69,3917,8,3,511.998046875,512.0,511.998046875,512.0,103,3254,29285,6
2024-07-12 08:04:47,1087,0,3,8910,69,3936,8,3,511.998046875,512.0,511.998046875,512.0,103,3269,29420,6
2024-07-12 08:04:48,1092,0,3,8905,70,3953,8,3,511.998046875,512.0,511.998046875,512.0,104,3284,29555,6
2024-07-12 08:04:49,1097,0,3,8900,70,3972,8,3,511.998046875,512.0,511.998046875,512.0,104,3299,29690,6
2024-07-12 08:04:50,1102,0,3,8895,70,3990,8,3,511.998046875,512.0,511.998046875,512.0,104,3314,29825,6
2024-07-12 08:04:51,1107,0,3,8890,71,4007,8,3,511.998046875,512.0,511.998046875,512.0,105,3329,29960,6
2024-07-12 08:04:52,1112,0,3,8885,71,4026,8,3,511.998046875,512.0,511.998046875,512.0,105,3344,30095,6
2024-07-12 08:04:53,1117,0,3,8880,71,4044,8,3,511.998046875,512.0,511.998046875,512.0,105,3359,30230,6
2024-07-12 08:04:54,1122,0,3,8875,72,4063,8,3,511.998046875,512.0,511.998046875,512.0,106,3374,30365,6
2024-07-12 08:04:55,1127,0,3,8870,72,4080,8,3,511.998046875,512.0,511.998046875,512.0,106,3389,30500,6
2024-07-12 08:04:56,1132,0,3,8865,72,4099,8,3,511.998046875,512.0,511.998046875,512.0,106,3404,30635,6
