,,globalP,globalP,globalP,packetP,packetP,packetP,sessionP,sessionP,sessionP,transactionP,transactionP,transactionP
,subscriber_count_Connected,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_globalP_smf,total_allocated_memory_globalP_smf,chunk_create_count_minus_destroy_count_cm_globalP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_packetP_smf,total_allocated_memory_packetP_smf,chunk_create_count_minus_destroy_count_cm_packetP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_sessionP_smf,total_allocated_memory_sessionP_smf,chunk_create_count_minus_destroy_count_cm_sessionP_smf,phoenix_memory_cm_max_used_chunks_per_pool_count_cm_transactionP_smf,total_allocated_memory_transactionP_smf,chunk_create_count_minus_destroy_count_cm_transactionP_smf
timestamp,,,,,,,,,,,,,
2024-07-24 09:29:41,72,8,511.998046875,39,261,512.0,227,8,511.998046875,2018,3,512.0,5
2024-07-24 09:29:42,73,8,511.998046875,39,264,512.0,230,8,511.998046875,2045,3,512.0,5
2024-07-24 09:29:43,74,8,511.998046875,39,268,512.0,233,8,511.998046875,2072,3,512.0,5
2024-07-24 09:29:44,75,8,511.998046875,39,271,512.0,236,8,511.998046875,2099,3,512.0,5
2024-07-24 09:29:45,76,8,511.998046875,39,275,512.0,239,8,511.998046875,2126,3,512.0,5
2024-07-24 09:29:46,77,8,511.998046875,39,278,512.0,242,8,511.998046875,2153,3,512.0,5
2024-07-24 09:29:47,78,8,511.998046875,39,282,512.0,245,8,511.998046875,2180,3,512.0,5
2024-07-24 09:29:48,79,8,511.998046875,39,285,512.0,248,8,511.998046875,2207,3,512.0,5
2024-07-24 09:29:49,80,8,511.998046875,39,289,512.0,251,8,511.998046875,2234,3,512.0,5
2024-07-24 09:29:50,81,8,511.998046875,39,292,512.0,254,8,511.998046875,2261,3,512.0,5
2024-07-24 09:29:51,82,8,511.998046875,39,296,512.0,257,8,511.998046875,2288,3,512.0,5
2024-07-24 09:29:52,83,8,511.998046875,39,299,512.0,260,8,511.998046875,2315,3,512.0,5
2024-07-24 09:29:53,84,8,511.998046875,39,303,512.0,263,8,511.998046875,2342,3,512.0,5
2024-07-24 09:29:54,85,8,511.998046875,39,306,512.0,266,8,511.998046875,2369,3,512.0,5
2024-07-24 09:29:55,86,8,511.998046875,39,310,512.0,269,8,511.998046875,2396,3,512.0,5
2024-07-24 09:29:56,87,8,511.998046875,39,313,512.0,272,8,511.998046875,2423,3,512.0,5
2024-07-24 09:29:57,88,8,511.998046875,39,317,512.0,275,8,511.998046875,2450,3,512.0,5
2024-07-24 09:29:58,89,8,511.998046875,39,320,512.0,278,8,511.998046875,2477,3,512.0,5
2024-07-24 09:29:59,90,8,511.998046875,39,324,512.0,281,8,511.998046875,2504,3,512.0,5
2024-07-24 09:30:00,91,8,511.998046875,39,327,512.0,284,8,511.998046875,2531,3,512.0,5
2024-07-24 09:30:01,92,8,511.998046875,39,331,512.0,287,8,511.998046875,2558,3,512.0,5
2024-07-24 09:30:02,93,8,511.998046875,39,334,512.0,290,8,511.998046875,2585,3,512.0,5
2024-07-24 09:30:03,94,8,511.998046875,39,338,512.0,293,8,511.998046875,2612,3,512.0,5
2024-07-24 09:30:04,95,8,511.998046875,39,341,512.0,296,8,511.998046875,2639,3,512.0,5
2024-07-24 09:30:05,96,8,511.998046875,39,345,512.0,299,8,511.998046875,2666,3,512.0,5
2024-07-24 09:30:06,97,8,511.998046875,39,348,512.0,302,8,511.998046875,2693,3,512.0,5
2024-07-24 09:30:07,98,8,511.998046875,39,351,512.0,305,8,511.998046875,2720,3,512.0,5
2024-07-24 09:30:08,99,8,511.998046875,39,355,512.0,308,8,511.998046875,2747,3,512.0,5
2024-07-24 09:30:09,100,8,511.998046875,39,358,512.0,311,8,511.998046875,2774,3,512.0,5
2024-07-24 09:30:10,101,8,511.998046875,39,362,512.0,314,8,511.998046875,2801,3,512.0,5
2024-07-24 09:30:11,102,8,511.998046875,39,365,512.0,317,8,511.998046875,2828,3,512.0,5
2024-07-24 09:30:12,103,8,511.998046875,39,369,512.0,320,8,511.998046875,2855,3,512.0,5
2024-07-24 09:30:13,104,8,511.998046875,39,372,512.0,323,8,511.998046875,2882,3,512.0,5
2024-07-24 09:30:14,105,8,511.998046875,39,376,512.0,326,8,511.998046875,2909,3,512.0,5
2024-07-24 09:30:15,106,8,511.998046875,39,379,512.0,329,8,511.998046875,2936,3,512.0,5
2024-07-24 09:30:16,107,8,511.998046875,39,383,512.0,332,8,511.998046875,2963,3,512.0,5
2024-07-24 09:30:17,108,8,511.998046875,39,386,512.0,335,8,511.998046875,2990,3,512.0,5
2024-07-24 09:30:18,109,8,511.998046875,39,390,512.0,338,8,511.998046875,3017,3,512.0,5
2024-07-24 09:30:19,110,8,511.998046875,39,393,512.0,341,8,511.998046875,3044,3,512.0,5
2024-07-24 09:30:20,111,8,511.998046875,39,397,512.0,344,8,511.998046875,3071,3,512.0,5
2024-07-24 09:30:21,112,8,511.998046875,39,400,512.0,347,8,511.998046875,3098,3,512.0,5
2024-07-24 09:30:22,113,8,511.998046875,39,404,512.0,350,8,511.998046875,3125,3,512.0,5
2024-07-24 09:30:23,114,8,511.998046875,39,407,512.0,353,8,511.998046875,3152,3,512.0,5
2024-07-24 09:30:24,115,8,511.998046875,39,411,512.0,356,8,511.998046875,3179,3,512.0,5
2024-07-24 09:30:25,116,8,511.998046875,39,414,512.0,359,8,511.998046875,3206,3,512.0,5
2024-07-24 09:30:26,117,8,511.998046875,39,418,512.0,362,8,511.998046875,3233,3,512.0,5
2024-07-24 09:30:27,118,8,511.998046875,39,421,512.0,365,8,511.998046875,3260,3,512.0,5
2024-07-24 09:30:28,119,8,511.998046875,39,425,512.0,368,8,511.998046875,3287,3,512.0,5
2024-07-24 09:30:29,120,8,511.998046875,39,428,512.0,371,8,511.998046875,3314,3,512.0,5
2024-07-24 09:30:30,121,8,511.998046875,39,432,512.0,374,8,511.998046875,3341,3,512.0,5
